(-0.007496615716160164+0j) 0j 0j 0j 0j (-0.02255943793564389+0j) 0j (0.013456934191994506+0j) (0.09592228235057987+0j) 0j 0j (-6.5179027352076515+0j) 0j 0j (0.016869139513691025+0j) 0j 0j 0j 0j 0j (-0.019574818321525248+0j) (0.01926843191602619+0j) 0j 0j (-0.004790307365703773+0j) 0j (0.13089487949304557+0j) 0j 0j (-0.013741075830023517+0j)
(0.008433109644020427+0j) (0.013456934191994506+0j) 0j 0j 0j 0j 0j 0j (0.019704301706666098+0j) (0.019704301706666098+0j) (0.02642567114816436+0j) 0j (-2.3800623213557+0j) (0.012964362980297866+0j) 0j 0j (0.02347765091366341+0j) (-0.08154174625957288+0j) (-0.005369747281452073+0j) (-0.06989620305108585+0j) (0.055211016826065815+0j) (-0.004298348311440325+0j) (0.0552110168260658+0j) (-0.08154174625957288+0j) (-0.019574818321525248+0j) (0.008849141856860287+0j) 0j 0j (-0.004298348311440325+0j) (-0.0037195866499667917+0j)
0j (0.02164898063545506+0j) (0.0022607088103679+0j) (0.0022607088103679+0j) 0j 0j (0.008433109644020427+0j) 0j 0j 0j (0.12381871697465908+0j) 0j (0.012964362980297866+0j) (-2.445664580533885+0j) 0j 0j (0.04127897118714075+0j) (0.034481850243671786+0j) (-0.0016501606314852815+0j) (-0.01413339896578935+0j) 0j 0j 0j (0.034481850243671786+0j) 0j 0j 0j 0j 0j (-0.00044284644702861795+0j)
(-0.007496615716160162+0j) 0j 0j 0j (-0.022559437935643904+0j) 0j 0j 0j 0j (0.09592228235057987+0j) 0j (0.016869139513691025+0j) 0j 0j (-6.5179027352076515+0j) (0.013456934191994506+0j) (0.00013661414961938293+0j) 0j 0j 0j (-0.019574818321525245+0j) (0.019268431916026188+0j) 0j 0j 0j 0j 0j 0j 0j (-0.013741075830023517+0j)
(-0.007496615716160162+0j) 0j 0j 0j (-0.022559437935643953+0j) 0j 0j (0.016869139513691025+0j) 0j (0.09592228235057995+0j) 0j 0j 0j 0j (0.013456934191994506+0j) (-6.51790273520765+0j) (0.00013661414961938293+0j) 0j (-0.013741075830023517+0j) 0j 0j 0j (-0.019574818321525245+0j) 0j 0j (0.006103889907011968+0j) 0j (-0.010256063091288731+0j) (0.019268431916026188+0j) 0j
0j (0.009817999566938329+0j) 0j 0j (0.008433109644020427+0j) 0j 0j 0j 0j (0.12381871697465908+0j) 0j 0j (0.02347765091366341+0j) (0.04127897118714075+0j) (0.00013661414961938293+0j) (0.00013661414961938293+0j) (-2.371251806551683+0j) 0j 0j (0.019268431916026188+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j
(-0.0022607088103679+0j) 0j (0.013456934191994506+0j) 0j 0j 0j 0j 0j (-0.013741075830023517+0j) (-0.013741075830023517+0j) (-0.001529994112207618+0j) 0j (-0.08154174625957288+0j) (0.034481850243671786+0j) 0j 0j 0j (-3.1194983330168293+0j) (0.10426085410358085+0j) (0.009306623876317331+0j) (-0.004298348311440325+0j) (0.04185199601194657+0j) (-0.12715036032887506+0j) (0.02642567114816436+0j) 0j 0j 0j (0.008849141856860287+0j) (-0.0044061659999114+0j) (0.1043064115615614+0j)
(-0.0016501606314852815+0j) (-0.0037195866499667917+0j) (-0.014175308724662423+0j) 0j 0j 0j (-0.005369747281452073+0j) (-0.013741075830023517+0j) 0j 0j (-0.0037195866499667917+0j) 0j (-0.005369747281452073+0j) (-0.0016501606314852815+0j) 0j (-0.013741075830023517+0j) 0j (0.10426085410358085+0j) (-6.401916363253377+0j) 0j 0j (0.008849141856860287+0j) (-0.056476105671458235+0j) 0j 0j (-0.004298348311440325+0j) 0j (-0.017143292334385933+0j) (0.009306623876317331+0j) (0.013456934191994506+0j)
0j (0.011245141565087088+0j) 0j (0.008849141856860287+0j) 0j 0j 0j 0j 0j 0j (0.03181087857299983+0j) 0j (-0.06989620305108585+0j) (-0.01413339896578935+0j) 0j 0j (0.019268431916026188+0j) (0.009306623876317331+0j) 0j (-2.6019625271573847+0j) (-0.0012073141844566627+0j) 0j (-0.0016501606314852815+0j) (-0.18519534014631978+0j) 0j 0j (0.019704301706666098+0j) 0j (0.00013661414961938293+0j) (0.0044061659999114+0j)
(-5.687428826506302e-12+0j) (0.004790307365703773+0j) 0j (-0.0033771837177818255+0j) 0j 0j 0j 0j (0.0061038899070119685+0j) (0.006103889907011968+0j) (-0.0044061659999114+0j) (-0.019574818321525248+0j) (0.055211016826065815+0j) 0j (-0.019574818321525245+0j) 0j 0j (-0.004298348311440325+0j) 0j (-0.0012073141844566627+0j) (-6.314920230685133+0j) (-0.019887504347929935+0j) (0.008433109644020427+0j) (-0.12715036032887495+0j) (-0.007496615716160164+0j) (0.003226071541219167+0j) 0j (-0.005369747281452073+0j) (-0.0022607088103679+0j) (-0.03181087857299983+0j)
(-1.0821901534618927e-10+0j) 0j (0.004790307365703773+0j) 0j 0j 0j (-0.0033771837177818255+0j) 0j (-0.010256063091288735+0j) (-0.010256063091288731+0j) (-0.1403307072041523+0j) (0.01926843191602619+0j) (-0.004298348311440325+0j) 0j (0.019268431916026188+0j) 0j 0j (0.04185199601194657+0j) (0.008849141856860287+0j) 0j (-0.019887504347929935+0j) (-6.807809548166969+0j) (-0.0022607088103679+0j) (-0.0044061659999114+0j) 0j (-0.00416243309699541+0j) 0j (-0.011276750410980741+0j) (0.02164898063545506+0j) (0.028174578018552957+0j)
(-5.6874127803141494e-12+0j) (0.004790307365703773+0j) (-0.0033771837177818255+0j) 0j 0j 0j 0j (-0.019574818321525248+0j) (0.0061038899070119685+0j) (0.006103889907011968+0j) (-0.0044061659999114+0j) 0j (0.0552110168260658+0j) 0j 0j (-0.019574818321525245+0j) 0j (-0.12715036032887506+0j) (-0.056476105671458235+0j) (-0.0016501606314852815+0j) (0.008433109644020427+0j) (-0.0022607088103679+0j) (-6.3149202306851295+0j) (-0.004298348311440325+0j) 0j (-0.00013661414961938293+0j) 0j (-0.0016501606314852815+0j) (-0.019887504347929928+0j) (-0.011245141565087088+0j)
(-0.0022607088103679+0j) 0j 0j (0.013456934191994506+0j) 0j 0j 0j 0j (-0.013741075830023517+0j) (-0.013741075830023517+0j) (-0.0015299941122076232+0j) 0j (-0.08154174625957288+0j) (0.034481850243671786+0j) 0j 0j 0j (0.02642567114816436+0j) 0j (-0.18519534014631978+0j) (-0.12715036032887495+0j) (-0.0044061659999114+0j) (-0.004298348311440325+0j) (-3.1194983330168293+0j) (0.01926843191602619+0j) (-0.011245141565087088+0j) (0.019574818321525248+0j) 0j (0.04185199601194657+0j) 0j
0j 0j 0j 0j 0j (0.008849141856860287+0j) 0j (0.033448795863229575+0j) (-0.05981596392037922+0j) 0j 0j (-0.004790307365703773+0j) (-0.019574818321525248+0j) 0j 0j 0j 0j 0j 0j 0j (-0.007496615716160164+0j) 0j 0j (0.01926843191602619+0j) (-2.9173755783670856+0j) (-0.009817999566938325+0j) (0.034481850243671786+0j) 0j 0j 0j
(6.767643390137579e-10+0j) (0.007540012889834538+0j) (-0.03181087857299983+0j) (0.005175868878464766+0j) (-0.019574818321525245+0j) (-0.019574818321525248+0j) (0.009306623876317331+0j) (0.0061038899070119685+0j) 0j 0j 0j 0j (0.008849141856860287+0j) 0j 0j (0.006103889907011968+0j) 0j 0j (-0.004298348311440325+0j) 0j (0.003226071541219167+0j) (-0.00416243309699541+0j) (-0.00013661414961938293+0j) (-0.011245141565087088+0j) (-0.009817999566938325+0j) (-8.35443101346472+0j) 0j (0.016833337201301764+0j) (-0.00044284644702861795+0j) 0j
0j 0j 0j 0j 0j (0.011245141565087088+0j) 0j (-0.0033771837177818255+0j) (-0.02318888030411854+0j) 0j (-0.01926843191602619+0j) (0.13089487949304557+0j) 0j 0j 0j 0j 0j 0j 0j (0.019704301706666098+0j) 0j 0j 0j (0.019574818321525248+0j) (0.034481850243671786+0j) 0j (-3.3187608393607606+0j) 0j (0.007496615716160164+0j) 0j
(1.1846256308366276e-08+0j) (-0.03181087857299983+0j) (-0.13946193762932127+0j) (0.009306623876317331+0j) (0.019268431916026188+0j) (0.01926843191602619+0j) (0.0557628159315528+0j) (-0.010256063091288735+0j) 0j 0j (-0.011245141565087088+0j) 0j 0j 0j 0j (-0.010256063091288731+0j) 0j (0.008849141856860287+0j) (-0.017143292334385933+0j) 0j (-0.005369747281452073+0j) (-0.011276750410980741+0j) (-0.0016501606314852815+0j) 0j 0j (0.016833337201301764+0j) 0j (-8.707129354602193+0j) (-0.00018217160760000578+0j) (0.004790307365703773+0j)
(-1.0821892774265374e-10+0j) 0j 0j (0.004790307365703773+0j) 0j 0j (-0.0033771837177818255+0j) (0.01926843191602619+0j) (-0.010256063091288735+0j) (-0.010256063091288731+0j) (-0.1403307072041525+0j) 0j (-0.004298348311440325+0j) 0j 0j (0.019268431916026188+0j) 0j (-0.0044061659999114+0j) (0.009306623876317331+0j) (0.00013661414961938293+0j) (-0.0022607088103679+0j) (0.02164898063545506+0j) (-0.019887504347929928+0j) (0.04185199601194657+0j) 0j (-0.00044284644702861795+0j) (0.007496615716160164+0j) (-0.00018217160760000578+0j) (-6.807809548166968+0j) 0j
(-0.00044284644702861795+0j) (-0.00416243309699541+0j) (-0.014220866182643007+0j) 0j 0j 0j (-0.0037195866499667917+0j) 0j 0j 0j (-0.00416243309699541+0j) (-0.013741075830023517+0j) (-0.0037195866499667917+0j) (-0.00044284644702861795+0j) (-0.013741075830023517+0j) 0j 0j (0.1043064115615614+0j) (0.013456934191994506+0j) (0.0044061659999114+0j) (-0.03181087857299983+0j) (0.028174578018552957+0j) (-0.011245141565087088+0j) 0j 0j 0j 0j (0.004790307365703773+0j) 0j (-6.277846138267582+0j)
